PSA_ID,Domain,English,Kiswahili,Target Languages,Source,Date,Metadata
psa_2026_001626,Health,Social Health Authority: Pregnant women are advised to register for SHA cover through official channels only. Registration closes on 13 October 2026. Failure to comply may attract penalties under applicable laws.,,"[""Kikuyu""]",synthetic://lughalink/psa_framework_template,,"{""synthetic"": true, ""method"": ""synthetic_template"", ""human_reviewed"": false, ""framework_label"": ""psa"", ""framework_confidence"": 0.95, ""based_on_strict_patterns"": true, ""seed"": 42, ""original_psa_id"": """"}"
psa_2026_001627,Agriculture,Ministry of Agriculture: Farmers are advised to follow grazing advisories during the drought period. Please comply within 7 days. Further updates will be shared through official government platforms.,,"[""Kikuyu""]",synthetic://lughalink/psa_framework_template,,"{""synthetic"": true, ""method"": ""synthetic_template"", ""human_reviewed"": false, ""framework_label"": ""psa"", ""framework_confidence"": 0.79, ""based_on_strict_patterns"": true, ""seed"": 42, ""original_psa_id"": """"}"
psa_2026_001628,Education,"ADVISORY. KNEC warns candidates to confirm school placement results on the official portal. Act before 25 March 2026 to avoid penalties. For accurate information, visit the official website and follow verified social media channels only.",,"[""Kikuyu""]",synthetic://lughalink/psa_framework_template,,"{""synthetic"": true, ""method"": ""synthetic_template"", ""human_reviewed"": false, ""framework_label"": ""psa"", ""framework_confidence"": 0.79, ""based_on_strict_patterns"": true, ""seed"": 42, ""original_psa_id"": """"}"
psa_2026_001629,Agriculture,"KEPHIS: Livestock keepers are advised to store harvested produce in dry, secure facilities. Act before 25 September 2026 to avoid penalties. For accurate information, visit the official website and follow verified social media channels only.",,"[""Kikuyu""]",synthetic://lughalink/psa_framework_template,,"{""synthetic"": true, ""method"": ""synthetic_template"", ""human_reviewed"": false, ""framework_label"": ""psa"", ""framework_confidence"": 0.87, ""based_on_strict_patterns"": true, ""seed"": 42, ""original_psa_id"": """"}"
psa_2026_001630,Education,"The Ministry of Education reminds students to ensure learners report to school with required documents. This advisory takes effect immediately. For accurate information, visit the official website and follow verified social media channels only.",,"[""Kikuyu""]",synthetic://lughalink/psa_framework_template,,"{""synthetic"": true, ""method"": ""synthetic_template"", ""human_reviewed"": false, ""framework_label"": ""psa"", ""framework_confidence"": 0.98, ""based_on_strict_patterns"": true, ""seed"": 42, ""original_psa_id"": """"}"
psa_2026_001631,Agriculture,ADVISORY. Ministry of Agriculture warns livestock keepers to report pest outbreaks to the nearest agricultural officer. Act before 6 May 2026 to avoid penalties. Failure to comply may attract penalties under applicable laws.,,"[""Kikuyu""]",synthetic://lughalink/psa_framework_template,,"{""synthetic"": true, ""method"": ""synthetic_template"", ""human_reviewed"": false, ""framework_label"": ""psa"", ""framework_confidence"": 0.79, ""based_on_strict_patterns"": true, ""seed"": 42, ""original_psa_id"": """"}"
psa_2026_001632,Agriculture,"ALERT. KEPHIS advises traders to vaccinate livestock according to the county schedule in Nakuru County. Registration closes on 17 August 2026. For accurate information, visit the official website and follow verified social media channels only.",,"[""Kikuyu""]",synthetic://lughalink/psa_framework_template,,"{""synthetic"": true, ""method"": ""synthetic_template"", ""human_reviewed"": false, ""framework_label"": ""psa"", ""framework_confidence"": 0.79, ""based_on_strict_patterns"": true, ""seed"": 42, ""original_psa_id"": """"}"
psa_2026_001633,Health,"PUBLIC NOTICE. County Department of Health requests members of the public to register for SHA cover through official channels only. This advisory takes effect immediately. For accurate information, visit the official website and follow verified social media channels only.",,"[""Kikuyu""]",synthetic://lughalink/psa_framework_template,,"{""synthetic"": true, ""method"": ""synthetic_template"", ""human_reviewed"": false, ""framework_label"": ""psa"", ""framework_confidence"": 0.79, ""based_on_strict_patterns"": true, ""seed"": 42, ""original_psa_id"": """"}"
psa_2026_001634,Security,ADVISORY. National Police Service warns motorists to report suspicious activity to the nearest police station. Act before 8 May 2026 to avoid penalties. Failure to comply may attract penalties under applicable laws.,,"[""Kikuyu""]",synthetic://lughalink/psa_framework_template,,"{""synthetic"": true, ""method"": ""synthetic_template"", ""human_reviewed"": false, ""framework_label"": ""psa"", ""framework_confidence"": 0.79, ""based_on_strict_patterns"": true, ""seed"": 42, ""original_psa_id"": """"}"
psa_2026_001635,Health,"WHO Kenya: Pregnant women are advised to seek medical care immediately if symptoms appear. Registration closes on 7 February 2026. For accurate information, visit the official website and follow verified social media channels only.",,"[""Kikuyu""]",synthetic://lughalink/psa_framework_template,,"{""synthetic"": true, ""method"": ""synthetic_template"", ""human_reviewed"": false, ""framework_label"": ""psa"", ""framework_confidence"": 0.79, ""based_on_strict_patterns"": true, ""seed"": 42, ""original_psa_id"": """"}"
psa_2026_001636,Education,ALERT. KUCCPS urges candidates to collect examination cards from designated centres only in Mombasa County. Deadline: 2 July 2026. Further updates will be shared through official government platforms.,,"[""Kikuyu""]",synthetic://lughalink/psa_framework_template,,"{""synthetic"": true, ""method"": ""synthetic_template"", ""human_reviewed"": false, ""framework_label"": ""psa"", ""framework_confidence"": 0.95, ""based_on_strict_patterns"": true, ""seed"": 42, ""original_psa_id"": """"}"
psa_2026_001637,Security,PUBLIC NOTICE. NDMA reminds drivers to follow official weather advisories before travel. Registration closes on 6 May 2026. Failure to comply may attract penalties under applicable laws.,,"[""Kikuyu""]",synthetic://lughalink/psa_framework_template,,"{""synthetic"": true, ""method"": ""synthetic_template"", ""human_reviewed"": false, ""framework_label"": ""psa"", ""framework_confidence"": 0.71, ""based_on_strict_patterns"": true, ""seed"": 42, ""original_psa_id"": """"}"
psa_2026_001638,Education,The TSC reminds students to confirm school placement results on the official portal. Deadline: 3 April 2026. The public is hereby informed to disregard rumours not issued through official channels.,,"[""Kikuyu""]",synthetic://lughalink/psa_framework_template,,"{""synthetic"": true, ""method"": ""synthetic_template"", ""human_reviewed"": false, ""framework_label"": ""psa"", ""framework_confidence"": 0.95, ""based_on_strict_patterns"": true, ""seed"": 42, ""original_psa_id"": """"}"
psa_2026_001639,Education,KNEC: Candidates are advised to confirm school placement results on the official portal. Registration closes on 1 July 2026. Further updates will be shared through official government platforms.,,"[""Kikuyu""]",synthetic://lughalink/psa_framework_template,,"{""synthetic"": true, ""method"": ""synthetic_template"", ""human_reviewed"": false, ""framework_label"": ""psa"", ""framework_confidence"": 0.79, ""based_on_strict_patterns"": true, ""seed"": 42, ""original_psa_id"": """"}"
psa_2026_001640,Education,"PUBLIC NOTICE. TSC reminds candidates to complete HELB loan applications before the deadline. Please comply within 7 days. For accurate information, visit the official website and follow verified social media channels only.",,"[""Kikuyu""]",synthetic://lughalink/psa_framework_template,,"{""synthetic"": true, ""method"": ""synthetic_template"", ""human_reviewed"": false, ""framework_label"": ""psa"", ""framework_confidence"": 0.79, ""based_on_strict_patterns"": true, ""seed"": 42, ""original_psa_id"": """"}"
psa_2026_001641,Health,"PUBLIC NOTICE. WHO Kenya requests pregnant women to register for SHA cover through official channels only. This advisory takes effect immediately. For accurate information, visit the official website and follow verified social media channels only.",,"[""Kikuyu""]",synthetic://lughalink/psa_framework_template,,"{""synthetic"": true, ""method"": ""synthetic_template"", ""human_reviewed"": false, ""framework_label"": ""psa"", ""framework_confidence"": 0.71, ""based_on_strict_patterns"": true, ""seed"": 42, ""original_psa_id"": """"}"
psa_2026_001642,Agriculture,"PUBLIC NOTICE. Ministry of Agriculture urges livestock keepers to vaccinate livestock according to the county schedule. Act before 8 October 2026 to avoid penalties. For accurate information, visit the official website and follow verified social media channels only.",,"[""Kikuyu""]",synthetic://lughalink/psa_framework_template,,"{""synthetic"": true, ""method"": ""synthetic_template"", ""human_reviewed"": false, ""framework_label"": ""psa"", ""framework_confidence"": 0.79, ""based_on_strict_patterns"": true, ""seed"": 42, ""original_psa_id"": """"}"
psa_2026_001643,Education,TSC: School heads are advised to ensure learners report to school with required documents. Please comply within 7 days. Failure to comply may attract penalties under applicable laws.,,"[""Kikuyu""]",synthetic://lughalink/psa_framework_template,,"{""synthetic"": true, ""method"": ""synthetic_template"", ""human_reviewed"": false, ""framework_label"": ""psa"", ""framework_confidence"": 0.98, ""based_on_strict_patterns"": true, ""seed"": 42, ""original_psa_id"": """"}"
psa_2026_001644,Education,"ALERT. HELB warns students to confirm school placement results on the official portal in Kiambu County. Act before 19 February 2026 to avoid penalties. For accurate information, visit the official website and follow verified social media channels only.",,"[""Kikuyu""]",synthetic://lughalink/psa_framework_template,,"{""synthetic"": true, ""method"": ""synthetic_template"", ""human_reviewed"": false, ""framework_label"": ""psa"", ""framework_confidence"": 0.95, ""based_on_strict_patterns"": true, ""seed"": 42, ""original_psa_id"": """"}"
psa_2026_001645,Education,ADVISORY. HELB warns parents and guardians to ensure learners report to school with required documents. This advisory takes effect immediately. The public is hereby informed to disregard rumours not issued through official channels.,,"[""Kikuyu""]",synthetic://lughalink/psa_framework_template,,"{""synthetic"": true, ""method"": ""synthetic_template"", ""human_reviewed"": false, ""framework_label"": ""psa"", ""framework_confidence"": 0.95, ""based_on_strict_patterns"": true, ""seed"": 42, ""original_psa_id"": """"}"
psa_2026_001646,Agriculture,PUBLIC NOTICE. KALRO requests farmers to follow grazing advisories during the drought period. Please comply within 7 days. The public is hereby informed to disregard rumours not issued through official channels.,,"[""Kikuyu""]",synthetic://lughalink/psa_framework_template,,"{""synthetic"": true, ""method"": ""synthetic_template"", ""human_reviewed"": false, ""framework_label"": ""psa"", ""framework_confidence"": 0.71, ""based_on_strict_patterns"": true, ""seed"": 42, ""original_psa_id"": """"}"
psa_2026_001647,Agriculture,"Ministry of Agriculture: Livestock keepers are advised to store harvested produce in dry, secure facilities. Act before 7 December 2026 to avoid penalties. Further updates will be shared through official government platforms.",,"[""Kikuyu""]",synthetic://lughalink/psa_framework_template,,"{""synthetic"": true, ""method"": ""synthetic_template"", ""human_reviewed"": false, ""framework_label"": ""psa"", ""framework_confidence"": 0.87, ""based_on_strict_patterns"": true, ""seed"": 42, ""original_psa_id"": """"}"
psa_2026_001648,Education,"KUCCPS: School heads are advised to confirm school placement results on the official portal. Registration closes on 27 May 2026. For accurate information, visit the official website and follow verified social media channels only.",,"[""Kikuyu""]",synthetic://lughalink/psa_framework_template,,"{""synthetic"": true, ""method"": ""synthetic_template"", ""human_reviewed"": false, ""framework_label"": ""psa"", ""framework_confidence"": 0.79, ""based_on_strict_patterns"": true, ""seed"": 42, ""original_psa_id"": """"}"
psa_2026_001649,Agriculture,"PUBLIC NOTICE. KEPHIS warns traders to report pest outbreaks to the nearest agricultural officer. Act before 23 July 2026 to avoid penalties. For accurate information, visit the official website and follow verified social media channels only.",,"[""Kikuyu""]",synthetic://lughalink/psa_framework_template,,"{""synthetic"": true, ""method"": ""synthetic_template"", ""human_reviewed"": false, ""framework_label"": ""psa"", ""framework_confidence"": 0.79, ""based_on_strict_patterns"": true, ""seed"": 42, ""original_psa_id"": """"}"
psa_2026_001650,Agriculture,"KEPHIS: Farmers are advised to store harvested produce in dry, secure facilities. Act before 5 July 2026 to avoid penalties. The public is hereby informed to disregard rumours not issued through official channels.",,"[""Kikuyu""]",synthetic://lughalink/psa_framework_template,,"{""synthetic"": true, ""method"": ""synthetic_template"", ""human_reviewed"": false, ""framework_label"": ""psa"", ""framework_confidence"": 0.95, ""based_on_strict_patterns"": true, ""seed"": 42, ""original_psa_id"": """"}"
psa_2026_001651,Education,ALERT. Ministry of Education reminds school heads to complete HELB loan applications before the deadline in Machakos County. Deadline: 12 September 2026. Failure to comply may attract penalties under applicable laws.,,"[""Kikuyu""]",synthetic://lughalink/psa_framework_template,,"{""synthetic"": true, ""method"": ""synthetic_template"", ""human_reviewed"": false, ""framework_label"": ""psa"", ""framework_confidence"": 0.98, ""based_on_strict_patterns"": true, ""seed"": 42, ""original_psa_id"": """"}"
psa_2026_001652,Agriculture,ALERT. KEPHIS warns livestock keepers to report pest outbreaks to the nearest agricultural officer in Turkana County. Deadline: 6 December 2026. Further updates will be shared through official government platforms.,,"[""Kikuyu""]",synthetic://lughalink/psa_framework_template,,"{""synthetic"": true, ""method"": ""synthetic_template"", ""human_reviewed"": false, ""framework_label"": ""psa"", ""framework_confidence"": 0.95, ""based_on_strict_patterns"": true, ""seed"": 42, ""original_psa_id"": """"}"
psa_2026_001653,Security,NDMA: Motorists are advised to follow official weather advisories before travel. Registration closes on 8 April 2026. Failure to comply may attract penalties under applicable laws.,,"[""Kikuyu""]",synthetic://lughalink/psa_framework_template,,"{""synthetic"": true, ""method"": ""synthetic_template"", ""human_reviewed"": false, ""framework_label"": ""psa"", ""framework_confidence"": 0.79, ""based_on_strict_patterns"": true, ""seed"": 42, ""original_psa_id"": """"}"
psa_2026_001654,Agriculture,"KEPHIS: Livestock keepers are advised to plant drought-tolerant varieties recommended for this season. Registration closes on 11 May 2026. For accurate information, visit the official website and follow verified social media channels only.",,"[""Kikuyu""]",synthetic://lughalink/psa_framework_template,,"{""synthetic"": true, ""method"": ""synthetic_template"", ""human_reviewed"": false, ""framework_label"": ""psa"", ""framework_confidence"": 0.79, ""based_on_strict_patterns"": true, ""seed"": 42, ""original_psa_id"": """"}"
psa_2026_001655,Agriculture,ADVISORY. County Department of Agriculture warns cooperative members to follow grazing advisories during the drought period. Please comply within 7 days. Further updates will be shared through official government platforms.,,"[""Kikuyu""]",synthetic://lughalink/psa_framework_template,,"{""synthetic"": true, ""method"": ""synthetic_template"", ""human_reviewed"": false, ""framework_label"": ""psa"", ""framework_confidence"": 0.71, ""based_on_strict_patterns"": true, ""seed"": 42, ""original_psa_id"": """"}"
psa_2026_001656,Security,ADVISORY. National Police Service warns motorists to keep children away from flooded rivers and open drains. Please comply within 7 days. Failure to comply may attract penalties under applicable laws.,,"[""Kikuyu""]",synthetic://lughalink/psa_framework_template,,"{""synthetic"": true, ""method"": ""synthetic_template"", ""human_reviewed"": false, ""framework_label"": ""psa"", ""framework_confidence"": 0.71, ""based_on_strict_patterns"": true, ""seed"": 42, ""original_psa_id"": """"}"
psa_2026_001657,Health,The Kenya Red Cross reminds parents and caregivers to complete routine immunization for children under five. Registration closes on 1 September 2026. The public is hereby informed to disregard rumours not issued through official channels.,,"[""Kikuyu""]",synthetic://lughalink/psa_framework_template,,"{""synthetic"": true, ""method"": ""synthetic_template"", ""human_reviewed"": false, ""framework_label"": ""psa"", ""framework_confidence"": 0.87, ""based_on_strict_patterns"": true, ""seed"": 42, ""original_psa_id"": """"}"
psa_2026_001658,Health,The County Department of Health reminds health workers to boil drinking water during the current advisory period. Please comply within 7 days. Failure to comply may attract penalties under applicable laws.,,"[""Kikuyu""]",synthetic://lughalink/psa_framework_template,,"{""synthetic"": true, ""method"": ""synthetic_template"", ""human_reviewed"": false, ""framework_label"": ""psa"", ""framework_confidence"": 0.79, ""based_on_strict_patterns"": true, ""seed"": 42, ""original_psa_id"": """"}"
psa_2026_001659,Agriculture,ADVISORY. KALRO warns livestock keepers to report pest outbreaks to the nearest agricultural officer. Registration closes on 22 December 2026. The public is hereby informed to disregard rumours not issued through official channels.,,"[""Kikuyu""]",synthetic://lughalink/psa_framework_template,,"{""synthetic"": true, ""method"": ""synthetic_template"", ""human_reviewed"": false, ""framework_label"": ""psa"", ""framework_confidence"": 0.79, ""based_on_strict_patterns"": true, ""seed"": 42, ""original_psa_id"": """"}"
psa_2026_001660,Security,The NTSA reminds drivers to observe the road safety rules and avoid overspeeding. Please comply within 7 days. Further updates will be shared through official government platforms.,,"[""Kikuyu""]",synthetic://lughalink/psa_framework_template,,"{""synthetic"": true, ""method"": ""synthetic_template"", ""human_reviewed"": false, ""framework_label"": ""psa"", ""framework_confidence"": 0.95, ""based_on_strict_patterns"": true, ""seed"": 42, ""original_psa_id"": """"}"
psa_2026_001661,Education,ALERT. KNEC reminds candidates to collect examination cards from designated centres only in Mombasa County. Deadline: 10 September 2026. Further updates will be shared through official government platforms.,,"[""Kikuyu""]",synthetic://lughalink/psa_framework_template,,"{""synthetic"": true, ""method"": ""synthetic_template"", ""human_reviewed"": false, ""framework_label"": ""psa"", ""framework_confidence"": 0.95, ""based_on_strict_patterns"": true, ""seed"": 42, ""original_psa_id"": """"}"
psa_2026_001662,Agriculture,PUBLIC NOTICE. KALRO reminds livestock keepers to report pest outbreaks to the nearest agricultural officer. Deadline: 2 April 2026. Failure to comply may attract penalties under applicable laws.,,"[""Kikuyu""]",synthetic://lughalink/psa_framework_template,,"{""synthetic"": true, ""method"": ""synthetic_template"", ""human_reviewed"": false, ""framework_label"": ""psa"", ""framework_confidence"": 0.79, ""based_on_strict_patterns"": true, ""seed"": 42, ""original_psa_id"": """"}"
psa_2026_001663,Education,PUBLIC NOTICE. KUCCPS warns parents and guardians to collect examination cards from designated centres only. Registration closes on 13 April 2026. The public is hereby informed to disregard rumours not issued through official channels.,,"[""Kikuyu""]",synthetic://lughalink/psa_framework_template,,"{""synthetic"": true, ""method"": ""synthetic_template"", ""human_reviewed"": false, ""framework_label"": ""psa"", ""framework_confidence"": 0.79, ""based_on_strict_patterns"": true, ""seed"": 42, ""original_psa_id"": """"}"
psa_2026_001664,Agriculture,The NDMA reminds livestock keepers to report pest outbreaks to the nearest agricultural officer. Registration closes on 2 September 2026. The public is hereby informed to disregard rumours not issued through official channels.,,"[""Kikuyu""]",synthetic://lughalink/psa_framework_template,,"{""synthetic"": true, ""method"": ""synthetic_template"", ""human_reviewed"": false, ""framework_label"": ""psa"", ""framework_confidence"": 0.87, ""based_on_strict_patterns"": true, ""seed"": 42, ""original_psa_id"": """"}"
psa_2026_001665,Health,The Kenya Red Cross reminds health workers to avoid unnecessary travel to affected areas. Act before 14 September 2026 to avoid penalties. Failure to comply may attract penalties under applicable laws.,,"[""Kikuyu""]",synthetic://lughalink/psa_framework_template,,"{""synthetic"": true, ""method"": ""synthetic_template"", ""human_reviewed"": false, ""framework_label"": ""psa"", ""framework_confidence"": 0.98, ""based_on_strict_patterns"": true, ""seed"": 42, ""original_psa_id"": """"}"
psa_2026_001666,Education,The HELB reminds parents and guardians to collect examination cards from designated centres only. Act before 16 November 2026 to avoid penalties. The public is hereby informed to disregard rumours not issued through official channels.,,"[""Kikuyu""]",synthetic://lughalink/psa_framework_template,,"{""synthetic"": true, ""method"": ""synthetic_template"", ""human_reviewed"": false, ""framework_label"": ""psa"", ""framework_confidence"": 0.95, ""based_on_strict_patterns"": true, ""seed"": 42, ""original_psa_id"": """"}"
psa_2026_001667,Health,ALERT. County Department of Health advises parents and caregivers to complete routine immunization for children under five in Kisumu County. Please comply within 7 days. The public is hereby informed to disregard rumours not issued through official channels.,,"[""Kikuyu""]",synthetic://lughalink/psa_framework_template,,"{""synthetic"": true, ""method"": ""synthetic_template"", ""human_reviewed"": false, ""framework_label"": ""psa"", ""framework_confidence"": 0.87, ""based_on_strict_patterns"": true, ""seed"": 42, ""original_psa_id"": """"}"
psa_2026_001668,Education,PUBLIC NOTICE. KNEC warns parents and guardians to confirm school placement results on the official portal. Registration closes on 11 September 2026. Failure to comply may attract penalties under applicable laws.,,"[""Kikuyu""]",synthetic://lughalink/psa_framework_template,,"{""synthetic"": true, ""method"": ""synthetic_template"", ""human_reviewed"": false, ""framework_label"": ""psa"", ""framework_confidence"": 0.71, ""based_on_strict_patterns"": true, ""seed"": 42, ""original_psa_id"": """"}"
psa_2026_001669,Security,"NTSA: Members of the public are advised to keep children away from flooded rivers and open drains. Act before 13 August 2026 to avoid penalties. For accurate information, visit the official website and follow verified social media channels only.",,"[""Kikuyu""]",synthetic://lughalink/psa_framework_template,,"{""synthetic"": true, ""method"": ""synthetic_template"", ""human_reviewed"": false, ""framework_label"": ""psa"", ""framework_confidence"": 0.98, ""based_on_strict_patterns"": true, ""seed"": 42, ""original_psa_id"": """"}"
psa_2026_001670,Agriculture,The NDMA reminds cooperative members to avoid fake fertiliser and buy only from licensed agrovets. Act before 8 August 2026 to avoid penalties. The public is hereby informed to disregard rumours not issued through official channels.,,"[""Kikuyu""]",synthetic://lughalink/psa_framework_template,,"{""synthetic"": true, ""method"": ""synthetic_template"", ""human_reviewed"": false, ""framework_label"": ""psa"", ""framework_confidence"": 0.98, ""based_on_strict_patterns"": true, ""seed"": 42, ""original_psa_id"": """"}"
psa_2026_001671,Education,ADVISORY. Ministry of Education warns candidates to ensure learners report to school with required documents. This advisory takes effect immediately. The public is hereby informed to disregard rumours not issued through official channels.,,"[""Kikuyu""]",synthetic://lughalink/psa_framework_template,,"{""synthetic"": true, ""method"": ""synthetic_template"", ""human_reviewed"": false, ""framework_label"": ""psa"", ""framework_confidence"": 0.95, ""based_on_strict_patterns"": true, ""seed"": 42, ""original_psa_id"": """"}"
psa_2026_001672,Governance,ALERT. Kenya Revenue Authority urges job applicants to complete registration using their original national ID in Kakamega County. Deadline: 21 July 2026. The public is hereby informed to disregard rumours not issued through official channels.,,"[""Kikuyu""]",synthetic://lughalink/psa_framework_template,,"{""synthetic"": true, ""method"": ""synthetic_template"", ""human_reviewed"": false, ""framework_label"": ""psa"", ""framework_confidence"": 0.98, ""based_on_strict_patterns"": true, ""seed"": 42, ""original_psa_id"": """"}"
psa_2026_001673,Health,The County Department of Health reminds pregnant women to complete routine immunization for children under five. Registration closes on 11 June 2026. Failure to comply may attract penalties under applicable laws.,,"[""Kikuyu""]",synthetic://lughalink/psa_framework_template,,"{""synthetic"": true, ""method"": ""synthetic_template"", ""human_reviewed"": false, ""framework_label"": ""psa"", ""framework_confidence"": 0.79, ""based_on_strict_patterns"": true, ""seed"": 42, ""original_psa_id"": """"}"
psa_2026_001674,Security,"PUBLIC NOTICE. National Police Service requests members of the public to observe the road safety rules and avoid overspeeding. Deadline: 12 April 2026. For accurate information, visit the official website and follow verified social media channels only.",,"[""Kikuyu""]",synthetic://lughalink/psa_framework_template,,"{""synthetic"": true, ""method"": ""synthetic_template"", ""human_reviewed"": false, ""framework_label"": ""psa"", ""framework_confidence"": 0.87, ""based_on_strict_patterns"": true, ""seed"": 42, ""original_psa_id"": """"}"
psa_2026_001675,Security,"ALERT. NDMA reminds motorists to keep children away from flooded rivers and open drains in Machakos County. This advisory takes effect immediately. For accurate information, visit the official website and follow verified social media channels only.",,"[""Kikuyu""]",synthetic://lughalink/psa_framework_template,,"{""synthetic"": true, ""method"": ""synthetic_template"", ""human_reviewed"": false, ""framework_label"": ""psa"", ""framework_confidence"": 0.87, ""based_on_strict_patterns"": true, ""seed"": 42, ""original_psa_id"": """"}"
psa_2026_001676,Education,"HELB: School heads are advised to complete HELB loan applications before the deadline. Act before 24 December 2026 to avoid penalties. For accurate information, visit the official website and follow verified social media channels only.",,"[""Kikuyu""]",synthetic://lughalink/psa_framework_template,,"{""synthetic"": true, ""method"": ""synthetic_template"", ""human_reviewed"": false, ""framework_label"": ""psa"", ""framework_confidence"": 0.98, ""based_on_strict_patterns"": true, ""seed"": 42, ""original_psa_id"": """"}"
psa_2026_001677,Health,ADVISORY. WHO Kenya warns members of the public to complete routine immunization for children under five. Registration closes on 13 December 2026. The public is hereby informed to disregard rumours not issued through official channels.,,"[""Kikuyu""]",synthetic://lughalink/psa_framework_template,,"{""synthetic"": true, ""method"": ""synthetic_template"", ""human_reviewed"": false, ""framework_label"": ""psa"", ""framework_confidence"": 0.87, ""based_on_strict_patterns"": true, ""seed"": 42, ""original_psa_id"": """"}"
