PSA_ID,Domain,English,Kiswahili,Target_Languages,Source,Org,Date,Metadata
PSA_00018,Health,WVI was established in 1977 to strategically coordinate and ensure consistent operating policies and standards globally across all Partnership offices.,,{'Kikuyu': None},https://www.wvi.org/about-us/faq,World Vision,2026-07-26,"{'target_language': 'Kikuyu', 'scrape_method': 'requests/bs4'}"
PSA_00019,Health,Microfinance and other projects that seek to improve adults’ livelihoods are a large part of this child-focused strategy.,,{'Kikuyu': None},https://www.wvi.org/about-us/faq,World Vision,2026-07-26,"{'target_language': 'Kikuyu', 'scrape_method': 'requests/bs4'}"
PSA_00020,Health,2025 See our latest Global Annual Report Download Publication View Online Structure FAQs Where are World Vision offices located?,,{'Kikuyu': None},https://www.wvi.org/about-us/our-structure,World Vision,2026-07-26,"{'target_language': 'Kikuyu', 'scrape_method': 'requests/bs4'}"
PSA_00021,Health,"For a complete list of our offices, please see this page.",,{'Kikuyu': None},https://www.wvi.org/about-us/our-structure,World Vision,2026-07-26,"{'target_language': 'Kikuyu', 'scrape_method': 'requests/bs4'}"
PSA_00022,Health,"WVI’s Council, comprised of the International Board and representatives of each national office board or advisory council, meets every three years, and has the authority to change fundamental elements of the Partnership structure and mission.",,{'Kikuyu': None},https://www.wvi.org/about-us/our-structure,World Vision,2026-07-26,"{'target_language': 'Kikuyu', 'scrape_method': 'requests/bs4'}"
PSA_00023,Health,How are National Boards and Advisory Councils Comprised?,,{'Kikuyu': None},https://www.wvi.org/about-us/our-structure,World Vision,2026-07-26,"{'target_language': 'Kikuyu', 'scrape_method': 'requests/bs4'}"
PSA_00024,Health,National boards and Advisory Councils comprise business professionals along with church and social service leaders and others.,,{'Kikuyu': None},https://www.wvi.org/about-us/our-structure,World Vision,2026-07-26,"{'target_language': 'Kikuyu', 'scrape_method': 'requests/bs4'}"
PSA_00025,Health,Connect with Us CONTACT US,,{'Kikuyu': None},https://www.wvi.org/our-promise,World Vision,2026-07-26,"{'target_language': 'Kikuyu', 'scrape_method': 'requests/bs4'}"
PSA_00026,Health,"We accept children of all faiths in our programmes, and we don't try to make them Christian.",,{'Kikuyu': None},https://www.wvi.org/about-us/our-leadership,World Vision,2026-07-26,"{'target_language': 'Kikuyu', 'scrape_method': 'requests/bs4'}"
PSA_00027,Health,We partner with diverse groups and ensure every partnership is positive from start to finish.,,{'Kikuyu': None},https://www.wvi.org/our-partners,World Vision,2026-07-26,"{'target_language': 'Kikuyu', 'scrape_method': 'requests/bs4'}"
PSA_00028,Health,"In our partnerships, we always seek shared value, respecting and valuing others’ contributions, considering and managing power dynamics appropriately, and communicating openly and responsively.",,{'Kikuyu': None},https://www.wvi.org/our-partners,World Vision,2026-07-26,"{'target_language': 'Kikuyu', 'scrape_method': 'requests/bs4'}"
PSA_00029,Health,"We seek to always find the right role, as such as connector, convenor, advocate, technical contributor, supporter and capacity‑sharer.",,{'Kikuyu': None},https://www.wvi.org/our-partners,World Vision,2026-07-26,"{'target_language': 'Kikuyu', 'scrape_method': 'requests/bs4'}"
PSA_00030,Health,"We monitor our partnering practice to ensure it is fully aligned to our global commitments including: The Grand Bargain, Our Partnering Principals, and World Vision's Position on Localisation.",,{'Kikuyu': None},https://www.wvi.org/our-partners,World Vision,2026-07-26,"{'target_language': 'Kikuyu', 'scrape_method': 'requests/bs4'}"
PSA_00031,Health,"If your organisation would like to be aware of partnering opportunities with World Vision, please contact the World Vision office in the country in which you work.",,{'Kikuyu': None},https://www.wvi.org/our-partners,World Vision,2026-07-26,"{'target_language': 'Kikuyu', 'scrape_method': 'requests/bs4'}"
PSA_00032,Health,Three Layers of Change Transformational Development is a journey of shared learning and change: We seek to improve child well-being using evidence-based programmes.,,{'Kikuyu': None},https://www.wvi.org/development/transformational-development,World Vision,2026-07-26,"{'target_language': 'Kikuyu', 'scrape_method': 'requests/bs4'}"
PSA_00033,Health,We listen to God and humbly seek His guidance so we may join in His work.,,{'Kikuyu': None},https://www.wvi.org/development/transformational-development,World Vision,2026-07-26,"{'target_language': 'Kikuyu', 'scrape_method': 'requests/bs4'}"
PSA_00034,Health,"We also seek to reach deeper, addressing underlying spiritual and cultural root causes that are hindering people from achieving their full potential, and addressing behaviours and attitudes that can harm relationships in families and communities.",,{'Kikuyu': None},https://www.wvi.org/development/transformational-development,World Vision,2026-07-26,"{'target_language': 'Kikuyu', 'scrape_method': 'requests/bs4'}"
PSA_00035,Governance,"Our Work | World Vision | World Vision International Skip to main content English French Spanish English French Spanish Hope, Joy, and Justice for ALL children How We Work Child Protection Childhood should mean love, not violence.",,{'Kikuyu': None},https://www.wvi.org/our-work,World Vision,2026-07-26,"{'target_language': 'Kikuyu', 'scrape_method': 'requests/bs4'}"
PSA_00036,Health,"Our ultimate goal is to ensure all children are cared for, protected, educated, and feel the love of God and neighbours.",,{'Kikuyu': None},https://www.wvi.org/our-work,World Vision,2026-07-26,"{'target_language': 'Kikuyu', 'scrape_method': 'requests/bs4'}"
PSA_00037,Health,"Even in the places where it is hard to be a child, God is there—and we should be there too.",,{'Kikuyu': None},https://www.wvi.org/our-history,World Vision,2026-07-26,"{'target_language': 'Kikuyu', 'scrape_method': 'requests/bs4'}"
PSA_00038,Health,Learn More Take Action Together we've impacted the lives of over 200 million vulnerable children by tackling the root causes of poverty.,,{'Kikuyu': None},https://www.wvi.org/,World Vision,2026-07-26,"{'target_language': 'Kikuyu', 'scrape_method': 'requests/bs4'}"
PSA_00039,Health,Apply Now Please Note: It has come to our attention that several agencies or persons are claiming to be acting on World Vision's behalf in recruiting or facilitating the recruitment of personnel.,,{'Kikuyu': None},https://www.wvi.org/careers,World Vision,2026-07-26,"{'target_language': 'Kikuyu', 'scrape_method': 'requests/bs4'}"
PSA_00040,Health,Visit our FAQs for more information.,,{'Kikuyu': None},https://www.wvi.org/careers,World Vision,2026-07-26,"{'target_language': 'Kikuyu', 'scrape_method': 'requests/bs4'}"
PSA_00041,Health,Contact Us | Get Involved | World Vision International Skip to main content Contact Us We have a wide network of offices worldwide.,,{'Kikuyu': None},https://www.wvi.org/contact-us,World Vision,2026-07-26,"{'target_language': 'Kikuyu', 'scrape_method': 'requests/bs4'}"
PSA_00042,Security,"Early Warning We monitor early warning signals for natural and human‑made threats, enabling us to anticipate emerging events and act early to reduce their impact.",,{'Kikuyu': None},https://www.wvi.org/our-work/disaster-management,World Vision,2026-07-26,"{'target_language': 'Kikuyu', 'scrape_method': 'requests/bs4'}"
PSA_00043,Security,"Readiness We are there and ready to respond at the very first early‑warning trigger with pre‑positioned supplies, trained local teams and emergency-ready funding.",,{'Kikuyu': None},https://www.wvi.org/our-work/disaster-management,World Vision,2026-07-26,"{'target_language': 'Kikuyu', 'scrape_method': 'requests/bs4'}"
PSA_00044,Security,"Read To Know More Protecting Children Where Hunger Strikes: Why Integration Matters At World Vision, we believe no child should have to choose between survival and safety.",,{'Kikuyu': None},https://www.wvi.org/our-work/disaster-management,World Vision,2026-07-26,"{'target_language': 'Kikuyu', 'scrape_method': 'requests/bs4'}"
PSA_00045,Health,This investment should be seen as a credible way to protect children and reduce the need over time.,,{'Kikuyu': None},https://www.wvi.org/our-work/disaster-management,World Vision,2026-07-26,"{'target_language': 'Kikuyu', 'scrape_method': 'requests/bs4'}"
PSA_00046,Health,"Signaling about a system under strain, where children risk being pushed to the margins, she urges that governments, decision-makers, and donors ensure solidarity triumphs over indifference.",,{'Kikuyu': None},https://www.wvi.org/our-work/disaster-management,World Vision,2026-07-26,"{'target_language': 'Kikuyu', 'scrape_method': 'requests/bs4'}"
PSA_00047,Health,"Read To Learn More Publications and Research Reports In the Shadow of Hunger World Vision’s latest global report, released for World Refugee Day, reveals how cuts in humanitarian assistance are driving hunger and a child...",,{'Kikuyu': None},https://www.wvi.org/our-work/disaster-management,World Vision,2026-07-26,"{'target_language': 'Kikuyu', 'scrape_method': 'requests/bs4'}"
PSA_00048,Education,"Read more Publication School Meals Annual Report 2025 Millions of children still go to school hungry, with a single meal often deciding whether they stay in class or drop out.",,{'Kikuyu': None},https://www.wvi.org/our-work/disaster-management,World Vision,2026-07-26,"{'target_language': 'Kikuyu', 'scrape_method': 'requests/bs4'}"
PSA_00049,Security,"Learn More Join us in ensuring children are at the centre of humanitarian action To discuss partnering with us, please reach out to: Isabel Gomes Global Lead, Disaster Management World Vision International isabel_gomes@wvi.org",,{'Kikuyu': None},https://www.wvi.org/our-work/disaster-management,World Vision,2026-07-26,"{'target_language': 'Kikuyu', 'scrape_method': 'requests/bs4'}"
PSA_00050,Health,"Sources: UNICEF, Progress on Children’s Well-being , 2023; FSIN and GNAFC, Global Report on Food Crises , 2023.",,{'Kikuyu': None},https://www.wvi.org/our-work/advocacy,World Vision,2026-07-26,"{'target_language': 'Kikuyu', 'scrape_method': 'requests/bs4'}"
PSA_00051,Governance,"Grounded in our faith, we are united by the call to seek justice for all.",,{'Kikuyu': None},https://www.wvi.org/our-work/advocacy,World Vision,2026-07-26,"{'target_language': 'Kikuyu', 'scrape_method': 'requests/bs4'}"
PSA_00052,Health,Say ENOUGH to child hunger quote The first thing I want to say is don't be pessimistic.,,{'Kikuyu': None},https://www.wvi.org/our-work/advocacy,World Vision,2026-07-26,"{'target_language': 'Kikuyu', 'scrape_method': 'requests/bs4'}"
PSA_00053,Health,"Even though you don't believe you change something, there is always a way.",,{'Kikuyu': None},https://www.wvi.org/our-work/advocacy,World Vision,2026-07-26,"{'target_language': 'Kikuyu', 'scrape_method': 'requests/bs4'}"
PSA_00054,Governance,Read our latest global Advocacy Strategic Measures Report to learn about the impact we've had through our advocacy work.,,{'Kikuyu': None},https://www.wvi.org/our-work/advocacy,World Vision,2026-07-26,"{'target_language': 'Kikuyu', 'scrape_method': 'requests/bs4'}"
PSA_00055,Health,"Global Impact Report > In the humanitarian space, collaboration through partnership is key.",,{'Kikuyu': None},https://www.wvi.org/our-work/advocacy,World Vision,2026-07-26,"{'target_language': 'Kikuyu', 'scrape_method': 'requests/bs4'}"
PSA_00056,Education,"✏️ Add your name ENOUGH Campaign Our Young Leaders When children and young people participate, it is possible to make a change Jason's Article Cyberbullying in and around school: Stop Hesitating, Take Action!",,{'Kikuyu': None},https://www.wvi.org/our-work/advocacy,World Vision,2026-07-26,"{'target_language': 'Kikuyu', 'scrape_method': 'requests/bs4'}"
PSA_00057,Health,"2025 Global Annual Report, World Vision International Read More",,{'Kikuyu': None},https://www.wvi.org/donate,World Vision,2026-07-26,"{'target_language': 'Kikuyu', 'scrape_method': 'requests/bs4'}"
PSA_00058,Health,"Even in the places where it is hard to be a child, God is there—and we should be there too.",,{'Kikuyu': None},https://www.wvi.org/our-history,World Vision,2026-07-26,"{'target_language': 'Kikuyu', 'scrape_method': 'requests/bs4'}"
PSA_00059,Education,"The Coalition will continue to monitor these developments closely, aligning its advocacy and campaign efforts to ensure that every child in Kenya accesses inclusive, equitable, and quality basic education in line with national and global education goals.",,{'Kikuyu': None},https://www.elimuyetu.net/about-eyc/cbc-education-reform-programme/,Elimuyetu,2026-07-26,"{'target_language': 'Kikuyu', 'scrape_method': 'requests/bs4'}"
PSA_00060,Education,"#RaiseYourHand for girls’ education: https://t.co/m9BeDQ4UFz pic.twitter.com/neJi9ku1GP — Michelle Obama (@MichelleObama) June 3, 2021 To protect the future of our children, we must ensure that we break down barriers to learning.",,{'Kikuyu': None},https://www.elimuyetu.net/about-eyc/gpe-partnership-compact/,Elimuyetu,2026-07-26,"{'target_language': 'Kikuyu', 'scrape_method': 'requests/bs4'}"
PSA_00061,Education,Today I raised my hand for @GPforEducation – I call on you to do the same at https://t.co/zKIGDPMbLG .,,{'Kikuyu': None},https://www.elimuyetu.net/about-eyc/gpe-partnership-compact/,Elimuyetu,2026-07-26,"{'target_language': 'Kikuyu', 'scrape_method': 'requests/bs4'}"
PSA_00062,Education,We are looking forward to your support in the various campaigns and programs Your visit and calling upon is highly appreciated.,,{'Kikuyu': None},https://www.elimuyetu.net/partner-with-eyc/,Elimuyetu,2026-07-26,"{'target_language': 'Kikuyu', 'scrape_method': 'requests/bs4'}"
PSA_00063,Education,"Call us +254 20 2446 669 +254 715 242 644 E-Mail info@elimuyetu.net Office Hill Side Apartments, 2nd Floor, Ragati Road, off Haile Selassie Avenue Name * E-mail * Telephone * City Message SEND Go to Top",,{'Kikuyu': None},https://www.elimuyetu.net/partner-with-eyc/,Elimuyetu,2026-07-26,"{'target_language': 'Kikuyu', 'scrape_method': 'requests/bs4'}"
PSA_00064,Education,"Strengthening government support must go hand-in-hand with deliberate efforts to amplify refugee teachers’ voices, recognize their qualifications, and integrate them into the national education system to ensure inclusive and equitable learning for all.",,{'Kikuyu': None},https://www.elimuyetu.net/about-eyc/current-and-emerging-issues/,Elimuyetu,2026-07-26,"{'target_language': 'Kikuyu', 'scrape_method': 'requests/bs4'}"
PSA_00065,Governance,2022 EYC Newsletter Jan – April 2022 EYC BUDGET TRACKING MANUAL MOE-MIDTERM PROGRESS REPORT 2022 FINAL KENYA COMPACT DEC 20 TH 2021 PDF Elimu Yetu Newsletter 2021 CSO -EFA 2021 Nyanza Region Policy recommendation CSO – EFA 2021 R.,,{'Kikuyu': None},https://www.elimuyetu.net/resources/,Elimuyetu,2026-07-26,"{'target_language': 'Kikuyu', 'scrape_method': 'requests/bs4'}"
PSA_00066,Governance,2022 EYC Newsletter Jan – April 2022 EYC BUDGET TRACKING MANUAL MOE-MIDTERM PROGRESS REPORT 2022 FINAL KENYA COMPACT DEC 20 TH 2021 PDF Elimu Yetu Newsletter 2021 CSO -EFA 2021 Nyanza Region Policy recommendation CSO – EFA 2021 R.,,{'Kikuyu': None},https://www.elimuyetu.net/resources/,Elimuyetu,2026-07-26,"{'target_language': 'Kikuyu', 'scrape_method': 'requests/bs4'}"
PSA_00067,Education,We are looking forward to your support in the various campaigns and programs Your visit and calling upon is highly appreciated.,,{'Kikuyu': None},https://www.elimuyetu.net/,Elimuyetu,2026-07-26,"{'target_language': 'Kikuyu', 'scrape_method': 'requests/bs4'}"
PSA_00068,Governance,2022 EYC Newsletter Jan – April 2022 EYC BUDGET TRACKING MANUAL MOE-MIDTERM PROGRESS REPORT 2022 FINAL KENYA COMPACT DEC 20 TH 2021 PDF Elimu Yetu Newsletter 2021 CSO -EFA 2021 Nyanza Region Policy recommendation CSO – EFA 2021 R.,,{'Kikuyu': None},https://www.elimuyetu.net/resources,Elimuyetu,2026-07-26,"{'target_language': 'Kikuyu', 'scrape_method': 'requests/bs4'}"
PSA_00069,Governance,2022 EYC Newsletter Jan – April 2022 EYC BUDGET TRACKING MANUAL MOE-MIDTERM PROGRESS REPORT 2022 FINAL KENYA COMPACT DEC 20 TH 2021 PDF Elimu Yetu Newsletter 2021 CSO -EFA 2021 Nyanza Region Policy recommendation CSO – EFA 2021 R.,,{'Kikuyu': None},https://www.elimuyetu.net/resources,Elimuyetu,2026-07-26,"{'target_language': 'Kikuyu', 'scrape_method': 'requests/bs4'}"
PSA_00070,Governance,2022 EYC Newsletter Jan – April 2022 EYC BUDGET TRACKING MANUAL MOE-MIDTERM PROGRESS REPORT 2022 FINAL KENYA COMPACT DEC 20 TH 2021 PDF Elimu Yetu Newsletter 2021 CSO -EFA 2021 Nyanza Region Policy recommendation CSO – EFA 2021 R.,,{'Kikuyu': None},https://www.elimuyetu.net/resources,Elimuyetu,2026-07-26,"{'target_language': 'Kikuyu', 'scrape_method': 'requests/bs4'}"
PSA_00071,Governance,2022 EYC Newsletter Jan – April 2022 EYC BUDGET TRACKING MANUAL MOE-MIDTERM PROGRESS REPORT 2022 FINAL KENYA COMPACT DEC 20 TH 2021 PDF Elimu Yetu Newsletter 2021 CSO -EFA 2021 Nyanza Region Policy recommendation CSO – EFA 2021 R.,,{'Kikuyu': None},https://www.elimuyetu.net/resources,Elimuyetu,2026-07-26,"{'target_language': 'Kikuyu', 'scrape_method': 'requests/bs4'}"
PSA_00072,Education,"You may then be presented with adverts on a social media feed, or when you visit another website.",,{'Kikuyu': None},https://www.vsointernational.org/about-us/legal/data-protection-and-privacy/social-media-web-advertising,VSO International,2026-07-26,"{'target_language': 'Kikuyu', 'scrape_method': 'requests/bs4'}"
PSA_00073,Education,"When you first visit the VSO website, you can choose to not consent to Cookies being used for this purpose.",,{'Kikuyu': None},https://www.vsointernational.org/about-us/legal/data-protection-and-privacy/social-media-web-advertising,VSO International,2026-07-26,"{'target_language': 'Kikuyu', 'scrape_method': 'requests/bs4'}"
PSA_00074,Education,"At any point, you can contact our Supporter Care Team via email on enquiry@vsoint.org .",,{'Kikuyu': None},https://www.vsointernational.org/about-us/legal/data-protection-and-privacy/social-media-web-advertising,VSO International,2026-07-26,"{'target_language': 'Kikuyu', 'scrape_method': 'requests/bs4'}"
PSA_00075,Education,More ways to help Leave a gift in memory Remember a cherished family member or friend by making a gift that can change lives for generations to come.,,{'Kikuyu': None},https://www.vsointernational.org/get-involved,VSO International,2026-07-26,"{'target_language': 'Kikuyu', 'scrape_method': 'requests/bs4'}"
PSA_00076,Education,Learn more about our volunteering for development approach Our projects Find out more about our current and former projects helping to ensure inclusive education for all.,,{'Kikuyu': None},https://www.vsointernational.org/our-work/inclusive-education,VSO International,2026-07-26,"{'target_language': 'Kikuyu', 'scrape_method': 'requests/bs4'}"
PSA_00077,Education,"Report by the International Commission on Financing Global Education Opportunity Education Development Trust - Education, Girls’ Education and Climate Change (2021) Foreign, Commonwealth and Development Office (FCDO) - The Girls Education Challenge (GEC)",,{'Kikuyu': None},https://www.vsointernational.org/our-work/inclusive-education,VSO International,2026-07-26,"{'target_language': 'Kikuyu', 'scrape_method': 'requests/bs4'}"
PSA_00078,Education,Face-to-face and telephone fundraising Free Wills service Remember VSO in your will Fundraise for VSO,,{'Kikuyu': None},https://www.vsointernational.org/get-involved/support-us,VSO International,2026-07-26,"{'target_language': 'Kikuyu', 'scrape_method': 'requests/bs4'}"
PSA_00079,Security,VSO works closely with local organisations and communities to ensure that emergency aid is tailored to actual needs.,,{'Kikuyu': None},https://www.vsointernational.org/our-work/humanitarian-aid,VSO International,2026-07-26,"{'target_language': 'Kikuyu', 'scrape_method': 'requests/bs4'}"
PSA_00080,Education,"Whether it involves food, water, or medical care, we ensure that our assistance reaches the right people quickly and effectively.",,{'Kikuyu': None},https://www.vsointernational.org/our-work/humanitarian-aid,VSO International,2026-07-26,"{'target_language': 'Kikuyu', 'scrape_method': 'requests/bs4'}"
PSA_00081,Education,"VSO is establishing learning centres in refugee communities and providing children with school materials, ensuring that thousands of children do not miss out on critical years of education during a crucial phase of their development.",,{'Kikuyu': None},https://www.vsointernational.org/our-work/humanitarian-aid,VSO International,2026-07-26,"{'target_language': 'Kikuyu', 'scrape_method': 'requests/bs4'}"
PSA_00082,Education,VSO are helping to ensure education is still possible for children displaced by flooding.,,{'Kikuyu': None},https://www.vsointernational.org/our-work/humanitarian-aid,VSO International,2026-07-26,"{'target_language': 'Kikuyu', 'scrape_method': 'requests/bs4'}"
PSA_00083,Governance,You’ll go through a competitive selection process to ensure you’re matched with the right role.,,{'Kikuyu': None},https://www.vsointernational.org/volunteering/faq,VSO International,2026-07-26,"{'target_language': 'Kikuyu', 'scrape_method': 'requests/bs4'}"
PSA_00084,Education,"If it has been more than 30 days, please contact us at enquiry@vsoint.org so we can follow up with the hiring team who will provide you with an update on the status of your application.",,{'Kikuyu': None},https://www.vsointernational.org/volunteering/faq,VSO International,2026-07-26,"{'target_language': 'Kikuyu', 'scrape_method': 'requests/bs4'}"
PSA_00085,Education,"Due to the high volume of applications, we will only contact the candidates who were longlisted.",,{'Kikuyu': None},https://www.vsointernational.org/volunteering/faq,VSO International,2026-07-26,"{'target_language': 'Kikuyu', 'scrape_method': 'requests/bs4'}"
PSA_00086,Health,Many of the rural areas we work in have few or under-resourced health facilities so we need to make a full risk assessment for each volunteer to ensure their wellbeing.,,{'Kikuyu': None},https://www.vsointernational.org/volunteering/faq,VSO International,2026-07-26,"{'target_language': 'Kikuyu', 'scrape_method': 'requests/bs4'}"
PSA_00087,Education,How does VSO ensure the diversity of volunteers?,,{'Kikuyu': None},https://www.vsointernational.org/volunteering/faq,VSO International,2026-07-26,"{'target_language': 'Kikuyu', 'scrape_method': 'requests/bs4'}"
PSA_00088,Security,VSO constantly assesses security in each of the countries we work in to ensure that our volunteers come to no harm.,,{'Kikuyu': None},https://www.vsointernational.org/volunteering/faq,VSO International,2026-07-26,"{'target_language': 'Kikuyu', 'scrape_method': 'requests/bs4'}"
PSA_00089,Governance,Please refer to our Safeguarding and Child Protection Policy for more information.,,{'Kikuyu': None},https://www.vsointernational.org/volunteering/faq,VSO International,2026-07-26,"{'target_language': 'Kikuyu', 'scrape_method': 'requests/bs4'}"
PSA_00090,Education,VSO Skip to content Spanora Media £5 a month could help train teachers to ensure children with disabilities receive the specialist support they need in order to excel.,,{'Kikuyu': None},https://www.vsointernational.org/,VSO International,2026-07-26,"{'target_language': 'Kikuyu', 'scrape_method': 'requests/bs4'}"
PSA_00091,Education,£5 £15 £25 Other amount: £ Spanora Media £25 could help train teachers to ensure children with disabilities receive the specialist support they need in order to excel.,,{'Kikuyu': None},https://www.vsointernational.org/,VSO International,2026-07-26,"{'target_language': 'Kikuyu', 'scrape_method': 'requests/bs4'}"
PSA_00092,Education,Visit your local VSO website VSO Ireland VSO Netherlands VSO USA Latest news Hear stories from volunteers and communities and stay up-to-date with the latest VSO news.,,{'Kikuyu': None},https://www.vsointernational.org/,VSO International,2026-07-26,"{'target_language': 'Kikuyu', 'scrape_method': 'requests/bs4'}"
PSA_00093,Education,Find out more in our impact report 3.6m Nearly 3.6 million were reached through our education projects.,,{'Kikuyu': None},https://www.vsointernational.org/,VSO International,2026-07-26,"{'target_language': 'Kikuyu', 'scrape_method': 'requests/bs4'}"
PSA_00094,Education,Browse all current opportunities More ways you can support VSO Support us with a donation Job opportunities at VSO Read Kin Magazine Partnerships Global volunteer network Contact us,,{'Kikuyu': None},https://www.vsointernational.org/,VSO International,2026-07-26,"{'target_language': 'Kikuyu', 'scrape_method': 'requests/bs4'}"
PSA_00095,Education,"If you are interested in volunteering locally, please contact the VSO office in your country of residence.",,{'Kikuyu': None},https://www.vsointernational.org/volunteering,VSO International,2026-07-26,"{'target_language': 'Kikuyu', 'scrape_method': 'requests/bs4'}"
PSA_00096,Health,We ensure our volunteers are medically fit to travel and will be kept safe and healthy throughout the duration of their placement.,,{'Kikuyu': None},https://www.vsointernational.org/volunteering,VSO International,2026-07-26,"{'target_language': 'Kikuyu', 'scrape_method': 'requests/bs4'}"
PSA_00097,Education,Face-to-face and telephone fundraising Free Wills service Remember VSO in your will Fundraise for VSO,,{'Kikuyu': None},https://www.vsointernational.org/donate,VSO International,2026-07-26,"{'target_language': 'Kikuyu', 'scrape_method': 'requests/bs4'}"
PSA_00098,Education,They tagged their Facebook friends encouraging them to take action as well.,,{'Kikuyu': None},https://www.vsointernational.org/volunteering/global-volunteer-network/youth-network,VSO International,2026-07-26,"{'target_language': 'Kikuyu', 'scrape_method': 'requests/bs4'}"
PSA_00099,Education,"Learn more (PDF, 1.47MB) Contact the Bangladesh team Cambodia The Youth Champion Network in Cambodia has around 20 members in three provinces – Siem Reap, Battambang and Phnom Penh.",,{'Kikuyu': None},https://www.vsointernational.org/volunteering/global-volunteer-network/youth-network,VSO International,2026-07-26,"{'target_language': 'Kikuyu', 'scrape_method': 'requests/bs4'}"
